title,company,location,description,salary_min,salary_max,contract_type,category,created_date,redirect_url,source,search_term,search_location,collected_date
Founding Software Engineer,Core Group Resources,"Austin, Travis County","Job Description Job Description Salary: We are looking for a highly motivated, adaptable, and intelligent inaugural Founding Software Engineer to take the helm of our technology platform. As the first engineering hire, youll take ownership of an existing product that has been developed by an external agency and will lead all future development efforts. Your work will be pivotal in shaping the technical foundation and the future success of the product. This role offers the opportunity to grow in…",159231.61,159231.61,,IT Jobs,2025-06-25T11:49:33Z,https://www.adzuna.com/details/5267633824?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Engineer - Air Systems,Infravision,"Austin, Travis County","Job Description Job Description Salary: The opportunity Engineer - Air Systems, designing and developing our state-of-the-art, eco-conscious UAS fleet, ensuring optimal performance, maintenance, and safety for groundbreaking aerial solutions for the transmission industry in partnership with utilities and contractors. About Infravision Infravision is a high growth technology enabled services company specializing in aerial robotics and software solutions for the transmission industry with a focus…",95654.61,95654.61,,Engineering Jobs,2025-06-25T11:48:53Z,https://www.adzuna.com/details/5267632795?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Fullstack Developer in Gen AI (Contractor),"Zinda Law Group, PLLC","Austin, Travis County","Job Description Job Description Salary: This is a contractor role with an undefined term, offering potential for long-term opportunities based on performance and business needs Zinda Law Group is seeking a skilled Fullstack Developer with expertise in Generative AI technologies. The ideal candidate will have a strong background in Python, model training, and working with NLP and GenAI frameworks. Experience with LLM-based libraries such as LangChain, PyTorch, GPT, and Transformers is essential.…",111577.71,111577.71,,IT Jobs,2025-06-25T11:48:37Z,https://www.adzuna.com/details/5267632096?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Senior Software Engineer-Laravel/PHP,Vendidit,"Austin, Travis County","Job Description Job Description Salary: DOE About Us Vendidit Upstream is revolutionizing return management and inventory solutions for e-commerce and retail businesses. Our flagship multi-tenant Return Management System (RMS) helps companies efficiently process, track, and optimize product returns through an intuitive interface built with cutting-edge technologies. We're a growing, fully remote team passionate about solving complex logistics challenges and delivering exceptional value to our c…",89835.97,89835.97,,IT Jobs,2025-06-25T11:47:50Z,https://www.adzuna.com/details/5267630040?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Java Developer,Fintiv,"Austin, Travis County","Job Description Job Description Salary: Overview: The overall role for the Java Developer is to deliver quality based working software adhering to Test Driven Development (TDD) and Continuous Delivery (CI/CD) practices and Agile development methodology. As a Java Developer, you will be working on our back-end systems using Open Source technologies and delivering working software at the end of each 2 week sprint. Duties and Responsibilities: Develop quality-based server-side Java code Use a test…",93891.92,93891.92,,IT Jobs,2025-06-25T11:45:10Z,https://www.adzuna.com/details/5267622698?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Senior Full Stack Engineer,Vendidit,"Austin, Travis County","Job Description Job Description Salary: DOE About Us Vendidit is a rapidly growing auction platform that connects buyers and sellers through our innovative online marketplace. Our technology stack is built with modern frameworks and cloud-native services to ensure a seamless experience for all users. We're looking for a talented Full Stack Engineer to join our development team and help scale our platform to the next level. The Role As a Senior Full Stack Engineer at Vendidit, you'll work remote…",120772.74,120772.74,,IT Jobs,2025-06-25T11:44:22Z,https://www.adzuna.com/details/5267619670?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Sr. Software Engineer-HireClick,Asure Software,"Austin, Travis County","Job Description Job Description Salary: $110,000 - $120,000 Who we are Over 600 employees strong, Asure sees Human Capital Management (HCM) through the lens of entrepreneurs and executives with an owners mentality. We help businesses develop their Human Capital to get to the next level, stay compliant, and allocate their time, money and technology toward growth. Our HCM platform empowers more than 80,000 clients to build great teams and better manage their people while staying compliant in an e…",122636.27,122636.27,,IT Jobs,2025-06-25T11:44:09Z,https://www.adzuna.com/details/5267619026?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
"Software Engineer, Marketing Platform",Upstart,"Austin, Travis County","About Upstart Upstart is a leading AI lending marketplace partnering with banks and credit unions to expand access to affordable credit. By leveraging Upstart's AI marketplace, Upstart-powered banks and credit unions can have higher approval rates and lower loss rates across races, ages, and genders, while simultaneously delivering the exceptional digital-first lending experience their customers demand. More than two-thirds of Upstart loans are approved instantly and are fully automated. Upstar…",116720.52,116720.52,,IT Jobs,2025-06-25T11:41:56Z,https://www.adzuna.com/details/5267616907?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Full Stack Java Developer,Intiva Health,"Austin, Travis County","Duties: Responsible for health of Hashgraph solution which includes AWS nodes and an API that interacts with Salesforce. Provide full life cycle development with JAVA technology. Create both front-end components (including interfaces, proof of concepts, API, SDK and maintenance of existing technologies, etc.) using Javascript, PHP, HTML, and CSS as well as back-end components (including application code, databases, infrastructure and support for existing technologies, etc.) such as PHP, Java, J…",114477.47,114477.47,,IT Jobs,2025-06-25T11:35:40Z,https://www.adzuna.com/details/5267611262?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
"Colocation Renewals Transaction Manager (Colocation Portfolio Management), AWS Data Center Supply Solutions","Amazon Data Services, Inc.","Austin, Travis County","AWS Infrastructure Services owns the design, planning, delivery, and operation of all AWS global infrastructure. In other words, we’re the people who keep the cloud running. We support all AWS data centers and all of the servers, storage, networking, power, and cooling equipment that ensure our customers have continual access to the innovation they rely on. We work on the most challenging problems, with thousands of variables impacting the supply chain — and we’re looking for talented people wh…",167473.39,167473.39,,IT Jobs,2025-06-25T11:22:22Z,https://www.adzuna.com/land/ad/5267599006?se=OOi6v-RR8BGDDIRoo7hLsQ&utm_medium=api&utm_source=9c54ed3b&v=295AF581DCF5A7879545985AD748120BB63C10D5,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Director of Software Engineering,realtor.com,"Bee Cave, Travis County","Recognized as the No. 1 site trusted by real estate professionals, Realtor.com® has been at the forefront of online real estate for over 25 years, connecting buyers, sellers, and renters with trusted insights and expert guidance to find their perfect home. Through its robust suite of tools, Realtor.com® not only makes a significant impact on the real estate industry at large, but for consumers, navigating the biggest purchase they will make in their life, by providing a user experience that is …",166572.47,166572.47,,IT Jobs,2025-06-25T11:14:36Z,https://www.adzuna.com/land/ad/5267579491?se=OOi6v-RR8BGDDIRoo7hLsQ&utm_medium=api&utm_source=9c54ed3b&v=F2C8120D6C8C600C470F371003731559D2E7BDC6,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
"TerraFirma, Inc is hiring : Video Game Developer (UI / UX, Computer Graphics) in","TerraFirma, Inc","Austin, Travis County","Are you an elite engineer seeking the freedom and resources to achieve the impossible? THEN COME BUILD GIANT TERRAFORMING ROBOTS THAT WILL BUILD A BETTER FUTURE! At TerraFirma, we're not just building robots —we’re redefining how the world moves earth for construction. Our team, founded by former SpaceX engineers and backed by Bain Capital Ventures, is driven by a mission to make construction faster, more efficient, and more sustainable through pragmatic human-in-the-loop automation. Visit for …",147905.56,147905.56,,Engineering Jobs,2025-06-25T11:09:35Z,https://www.adzuna.com/details/5267572877?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Jobs via Dice is hiring: UI Architect [Angular with AWS] in Austin,Jobs via Dice,"Austin, Travis County","Join to apply for the UI Architect [Angular with AWS] role at Jobs via Dice 19 hours ago Be among the first 25 applicants Join to apply for the UI Architect [Angular with AWS] role at Jobs via Dice Get AI-powered advice on this job and more exclusive features. Dice is the leading career destination for tech experts at every stage of their careers. Our client, INFT Solutions inc, is seeking the following. Apply via Dice today! Job Title: UI Architect [Angular with AWS] Location: Austin, TX (Hybr…",132647.45,132647.45,,IT Jobs,2025-06-25T11:09:26Z,https://www.adzuna.com/details/5267571833?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Staff Software Engineer – Backend,realtor.com,"Bee Cave, Travis County","Recognized as the No. 1 site trusted by real estate professionals, Realtor.com® has been at the forefront of online real estate for over 25 years, connecting buyers, sellers, and renters with trusted insights and expert guidance to find their perfect home. Through its robust suite of tools, Realtor.com® not only makes a significant impact on the real estate industry at large, but for consumers, navigating the biggest purchase they will make in their life, by providing a user experience that is …",111590.48,111590.48,,IT Jobs,2025-06-25T11:07:33Z,https://www.adzuna.com/land/ad/5267567448?se=OOi6v-RR8BGDDIRoo7hLsQ&utm_medium=api&utm_source=9c54ed3b&v=7AA18CC80686A60553FF50A16C788904E8BFF76E,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
"Sr. Manager, Software Engineering",realtor.com,"Bee Cave, Travis County","Recognized as the No. 1 site trusted by real estate professionals, Realtor.com® has been at the forefront of online real estate for over 25 years, connecting buyers, sellers, and renters with trusted insights and expert guidance to find their perfect home. Through its robust suite of tools, Realtor.com® not only makes a significant impact on the real estate industry at large, but for consumers, navigating the biggest purchase they will make in their life, by providing a user experience that is …",119017.64,119017.64,,IT Jobs,2025-06-25T11:07:32Z,https://www.adzuna.com/land/ad/5267567436?se=OOi6v-RR8BGDDIRoo7hLsQ&utm_medium=api&utm_source=9c54ed3b&v=6E3D75CDE7A43D6E9180437448A7020A5BBAC881,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
"Principal Software Engineer, Search",realtor.com,"Bee Cave, Travis County","Recognized as the No. 1 site trusted by real estate professionals, Realtor.com® has been at the forefront of online real estate for over 25 years, connecting buyers, sellers, and renters with trusted insights and expert guidance to find their perfect home. Through its robust suite of tools, Realtor.com® not only makes a significant impact on the real estate industry at large, but for consumers, navigating the biggest purchase they will make in their life, by providing a user experience that is …",147593.19,147593.19,,IT Jobs,2025-06-25T10:44:02Z,https://www.adzuna.com/land/ad/5267553884?se=OOi6v-RR8BGDDIRoo7hLsQ&utm_medium=api&utm_source=9c54ed3b&v=CE6F9AAA87FFE8190FD08575E3F0FA2E73182F96,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Software Development Engineer,Apple,"Tarrytown, Travis County","Software Development Engineer Austin, Texas, United States Software and Services Summary Posted: Jun 24, 2025 Weekly Hours: 40 Role Number: 200606578 Imagine what you can do here. Apple is a place where extraordinary people gather to do their lives best work. Together we create products and experiences people once couldn't have imagined, and now, can't imagine living without. It's the diversity of those people and their ideas that inspires the innovation that runs through everything we do. Desc…",140428.03,140428.03,,Engineering Jobs,2025-06-25T10:27:27Z,https://www.adzuna.com/details/5267539978?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Software Development Engineer - Applications,Apple,"Tarrytown, Travis County","Software Development Engineer - Applications Austin, Texas, United States Software and Services Summary Posted: Jun 24, 2025 Weekly Hours: 40 Role Number: 200606945 Imagine what you can do here. Apple is a place where extraordinary people gather to do their lives best work. Together we create products and experiences people once couldn't have imagined, and now, can't imagine living without. It's the diversity of those people and their ideas that inspires the innovation that runs through everyth…",161478.52,161478.52,,IT Jobs,2025-06-25T10:27:27Z,https://www.adzuna.com/details/5267539974?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Austin, TX",2025-06-25 12:52:16
Software Engineer II - Embedded,Markem-Imaje,"Watertown, Middlesex County","Markem-Imaje, A Dover Company, is a trusted world manufacturer of product identification and traceability solutions, offering a full line of reliable and innovative inkjet, thermal transfer, laser, print and apply label systems. Markem-Imaje delivers fully integrated solutions that enable product quality and safety, regulatory and retailer compliance, better product recalls and improved manufacturing processes. Dover Corporation® (NYSE: DOV). Dover is a diversified global manufacturer and solut…",110283.89,110283.89,,IT Jobs,2025-06-25T11:53:58Z,https://www.adzuna.com/land/ad/5267635330?se=WDLvweRR8BGrj4hrKpKY3g&utm_medium=api&utm_source=9c54ed3b&v=B8C218083216427FABECC41585DA63A711DE9E81,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
.Principal Software Engineer - AI Engineering,Context Labs,"Cambridge, Middlesex County","Job Description Job Description Salary: Principal Software Engineer, AI Engineering Cambridge, MA About this position: Context Labs is seeking a Principal Software Engineer to help drive forward our AI Engineering initiatives within our ImmutablyTM Platform and analytics spaces. Working as an integral leader within the development team, the engineer will lead many aspects of developing our AI engineering systems; as well as provide thought leadership, upskilling of less senior engineers, and ta…",188585.8,188585.8,,IT Jobs,2025-06-25T11:48:50Z,https://www.adzuna.com/details/5267632640?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Senior C++ Software Engineer,oneZero Financial Systems,"Somerville, Middlesex County","Job Description Job Description Salary: Depending on Relevant Experience We are accepting applicants for on-site positions in Somerville, MA, or fully remote applicants in the following states: New York Connecticut Illinois Texas Washington Come join oneZero Financial Systems! An exciting, fast-growing company with Headquarters in Somerville MA, oneZero empowers banks, brokerages and hedge funds with cutting edge trade routing and execution technology. Our platform, deployed with 200 entities g…",170614.36,170614.36,,IT Jobs,2025-06-25T11:48:23Z,https://www.adzuna.com/details/5267631613?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Engineering Principal,Fitzemeyer & Tocci,"Woburn, Middlesex County","Job Description Job Description Salary: At Fitzemeyer & Tocci Engineering, we are committed to providing the highest level of service and quality in the MEP engineering and construction management industry. We are the Owners Engineer providing innovative, practical engineering and construction leadership. We are a team of professionals who are passionate about delivering innovative and sustainable solutions for our clients with specialized expertise in a diverse range of institution and facilit…",159075.58,159075.58,,Engineering Jobs,2025-06-25T11:48:14Z,https://www.adzuna.com/details/5267631239?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Software Engineer,Escher Group,"Boston, Suffolk County","Job Description Job Description Salary: Software Engineer Hybrid- Boston Office (Remote potential for EST/CST) Escher Group Escher powers the worlds first and last mile deliveries, helping Posts connect nearly 1 billion consumers with global ecommerce networks. Postal operators rely on Escher to deliver an enhanced retail and digital customer experience, to activate new revenue streams, and to realize new delivery economics.Learn more atwww.eschergroup.com POSITION OVERVIEW TheSoftware Engineer…",127567.77,127567.77,,IT Jobs,2025-06-25T11:46:31Z,https://www.adzuna.com/details/5267626209?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Sr Electrical Engineer,Connected Systems Partners,"Boston, Suffolk County","Job Description Job Description Our client, located in the Greater Stoughton, MA area, has a hybrid opportunity for a Sr Electrical Engineer. They are a well-established technology manufacturer, specializing in embedded solutions. This role involves full lifecycle PCB and backplane design for high-performance systems used in commercial, industrial and defense environments. Must be a US Citizen or US Perm Resident Must be able to commute to the Stoughton, MA area 3-4 days/week. Responsibilities …",122599.78,122599.78,,Engineering Jobs,2025-06-25T11:45:29Z,https://www.adzuna.com/land/ad/5267623725?se=WDLvweRR8BGrj4hrKpKY3g&utm_medium=api&utm_source=9c54ed3b&v=7AD18E3BC90277CD826554E9C9E3A4CFA3ABC75F,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Senior Software Engineer,Cytrellis Biosystems,"Woburn, Middlesex County","Job Description Job Description Salary: The Senior Software Engineer will develop software for products in various stages of the development lifecycle. This includes new product development, updates to support new clinical studies, upgrades to commercial products. In addition, the Software Engineer will work closely with the R&D and Manufacturing teams to help develop test fixtures for design verification, incoming or in-process inspection of critical components or subassemblies, and other proj…",79536.16,79536.16,,IT Jobs,2025-06-25T11:45:16Z,https://www.adzuna.com/details/5267622893?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Klaviyo is hiring: Senior Software Engineer - Marketing Agent in Boston,Klaviyo,"Boston, Suffolk County","At Klaviyo, we value the unique backgrounds, experiences and perspectives each Klaviyo (we call ourselves Klaviyos) brings to our workplace each and every day. We believe everyone deserves a fair shot at success and appreciate the experiences each person brings beyond the traditional job requirements. If you're a close but not exact match with the description, we hope you'll still consider applying. Want to learn more about life at Klaviyo? Visit careers.klaviyo.com to see how we empower creato…",143184.2,143184.2,,IT Jobs,2025-06-25T11:28:06Z,https://www.adzuna.com/details/5267605481?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
"Technical Marketing Engineer, Security Access Service Edge",Check Point Software,"Boston, Suffolk County","Technical Marketing Engineer, Security Access Service Edge Join to apply for the Technical Marketing Engineer, Security Access Service Edge role at Check Point Software Technical Marketing Engineer, Security Access Service Edge 1 day ago Be among the first 25 applicants Join to apply for the Technical Marketing Engineer, Security Access Service Edge role at Check Point Software Get AI-powered advice on this job and more exclusive features. Why Join Us? As the world’s leading vendor of Cyber Sec…",105798.55,105798.55,,IT Jobs,2025-06-25T11:18:09Z,https://www.adzuna.com/details/5267591195?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
HVAC Piping and Plumbing Design Job at Gpac in Quincy,gpac,"Quincy, Norfolk County","Job Description Job Description The successful candidate will design HVAC and Plumbing/Piping system for a variety of projects: institutional, manufacturing, community, hospital, financial, historic, commercial, manufacturing, educational. Tasks include: development of project basic data, working with clients to define and confirm project scopes of work, perform field surveys, perform engineering calculations, analyze and apply codes, develop conceptual design, develop detailed design documents…",89746.31,89746.31,,Engineering Jobs,2025-06-25T11:10:13Z,https://www.adzuna.com/details/5267575895?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Dexian is hiring: Graphic Designer role at Boston MA (Onsite) in Boston,Dexian,"Boston, Suffolk County","Job Title: Graphic Designer Location: Boston MA 02127 (Onsite) Duration: 12 months Job Description: Graphic designers create visual content for print and digital media. They design layouts, images, and illustrations for advertisements, websites, brochures, and other marketing materials. Skills Needed: Proficiency in graphic design software (e.g., Adobe Creative Suite) Creativity and artistic skills Knowledge of design principles and typography Attention to detail and accuracy Communication skil…",77383.2,77383.2,,Creative & Design Jobs,2025-06-25T11:09:34Z,https://www.adzuna.com/details/5267572757?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Nanobiosym is hiring: Software Engineer: Full-Stack Web Developer in Cambridge,Nanobiosym,"Cambridge, Middlesex County","Location: On-site only Type: Full-Time Company Overview We are a dynamic, growing company in the digital health sector, revolutionizing healthcare through innovative technology. As we expand our digital presence, we're seeking a talented Full-Stack Web Developer to spearhead our e-commerce and outreach initiatives. We are seeking a visionary developer to architect robust, secure, and scalable web solutions from the ground up. The ideal candidate will be a self-starter with a proven track record…",115623.27,115623.27,,IT Jobs,2025-06-25T11:09:25Z,https://www.adzuna.com/details/5267571798?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Embedded Software Engineer II,Markem-Imaje,"Watertown, Middlesex County","Markem-Imaje, A Dover Company, is a trusted world manufacturer of product identification and traceability solutions, offering a full line of reliable and innovative inkjet, thermal transfer, laser, print and apply label systems. Markem-Imaje delivers fully integrated solutions that enable product quality and safety, regulatory and retailer compliance, better product recalls and improved manufacturing processes. Dover Corporation® (NYSE: DOV). Dover is a diversified global manufacturer and solut…",110283.89,110283.89,,IT Jobs,2025-06-25T09:50:02Z,https://www.adzuna.com/land/ad/5267445696?se=WDLvweRR8BGrj4hrKpKY3g&utm_medium=api&utm_source=9c54ed3b&v=996A10F13C0EC59120BE956E74154CCB410F5FAE,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Engineering Coordinator,Davidson Hospitality Group,"Cambridge, Middlesex County","Property Description Join the dynamic team at Hyatt Regency Boston Cambridge, located in the vibrant and innovative city of Cambridge, Massachusetts! As a prestigious hotel in the heart of Kendall Square, we are seeking enthusiastic and skilled individuals to be part of our team. With its modern design, state-of-the-art facilities, and commitment to exceptional service, Hyatt Regency Boston Cambridge offers a stimulating work environment where you can thrive in your hospitality career. As an em…",56160.0,56160.0,permanent,Hospitality & Catering Jobs,2025-06-25T09:47:57Z,https://www.adzuna.com/details/5267441088?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Software Engineering Industry Coach,"Chegg, Inc.","Boston, Suffolk County","Job Description Industry Coach- Software Engineering Location: US Remote At Chegg, we're on a mission to deliver an unprecedented return on a student's time and money. Our programs deliver exceptional outcomes at market-leading prices by offering seamless experiences for students from the day they enroll at Chegg Skills until the day they graduate. We are looking for a Software Engineering Industry Coach to join our team and support students on their educational journey. This individual will pr…",68032.63,68032.63,permanent,IT Jobs,2025-06-25T09:47:45Z,https://www.adzuna.com/details/5267440840?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Product Designer - Onboarding & Admin Services,Schneider Electric,"Boston, Suffolk County","For this U.S. based position, the expected compensation range is $114,000 - $160,000 per year, which includes base pay and short-term incentive. The compensation range for this full-time position applies to candidates located within the United States. Our salary ranges are determined by reviewing roles of similar responsibility and level. Within the salary range, individual pay is determined by several factors including performance, knowledge, job-related skills, experience, and relevant educat…",73816.76,73816.76,permanent,IT Jobs,2025-06-25T08:52:36Z,https://www.adzuna.com/details/5267380961?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
"Software System Architect Engineering, Cyber Solutions",Schneider Electric,"Boston, Suffolk County","Join our Cybersecurity Solutions organization, where we support our customers at every stage of their cybersecurity journey, from proactive threat management to risk reduction and vulnerability management. If you're passionate about building solutions, enjoy tackling challenges, and thrive in an innovative environment, this could be the ideal opportunity for you to be part of an organization that's making a great IMPACT! As a Software System Architect you will: Act as a lead software architect …",103398.4,103398.4,permanent,IT Jobs,2025-06-25T08:52:35Z,https://www.adzuna.com/details/5267380871?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Remote Sr/Staff SW Engineer (Ruby/React) - $150-$230k,CyberCoders,"Boston, Suffolk County","Remote Sr/Staff SW Engineer (Ruby/React) - $150-$230k *Permanently 100% Remote* *Job Title:* Remote Sr or Staff Software Engineer (Ruby/React) - $150-$230k *Salary:* $150-$230k Base  Benefits, 401k, PTO *Requirements:* Ruby, Rails, React AWS *Our Tech Stack:* Ruby/Rails, AWS, React, Ansible, Terraform, CloudFormation, Linux, Postgres We offer an intuitive web-based CRM for financial advisors and wealth managers. Our CRM makes it incredibly easy for everyone from solo financial advisors to enter…",150000.0,230000.0,,IT Jobs,2025-06-25T07:49:45Z,https://www.adzuna.com/details/5267316515?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
AI Engineer,HubSpot,"Cambridge, Middlesex County","POS-28604 We are currently hiring for two similar positions on this team: this AI Engineer role and a Senior AI Engineer role (POS-27519) which is a separate job posting. Please review the requirements for each role and submit your application for only one —the one that best matches your experience and skills. This will help us ensure a smooth and thoughtful application process for everyone. *Please note: the application deadline is Monday, June 30 at 9am ET Our Mission & Team HubSpot's mission…",108611.17,108611.17,,IT Jobs,2025-06-25T07:28:40Z,https://www.adzuna.com/details/5267261534?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
Software Engineering & Development,State Street,"Boston, Suffolk County","Software Engineering & Development ( State Street Bank and Trust Company; Boston, MA ): Will work in a senior development role to develop applications that synthesize data from State Street’s varied trading and reference systems, perform simulation, pricing, and aggregation, and report the results for regulatory and risk management purposes. Will lead a team of geographically distributed developers to deliver solutions to State Street business problems in the risk domain, and is expected to be …",172744.0,180000.0,,IT Jobs,2025-06-25T06:48:15Z,https://www.adzuna.com/details/5267229840?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Boston, MA",2025-06-25 12:52:19
3D computer software engineer/programmer,FaceCenterLA,"Los Angeles, Los Angeles County",Job Description Job Description Great opportunity. Busy orthodontist is looking for a computer-programer/engineer to improve or rewrite and create our software program that can take a 3D stl file and segment the teeth from the 3D digital scan so we can reset the teeth into an ideal occlusion and print that model to make a clear aligner. We will reward generously. Bonus if you have experience working with Invisalign or similar type work.,61318.22,61318.22,,Creative & Design Jobs,2025-06-25T11:48:32Z,https://www.adzuna.com/land/ad/5267631931?se=tiMbxORR8BGDDIRoo7hLsQ&utm_medium=api&utm_source=9c54ed3b&v=D680AF15A896474CF12F852D282BB82590724EE6,adzuna,Software Engineer,"Los Angeles, CA",2025-06-25 12:52:23
Global Financial Controller,Total Synergy,"Los Angeles, Los Angeles County","Job Description Job Description Salary: About us Total Synergy is a private-equity-backed global software business providing project management software for architecture and engineering consultancies. Operating in Australia, the UK and now the US, our people enable us to make a difference every day to our customers and help them find the clearest path to project profitability. About the Role We are seeking an experienced and strategic Global Financial Controller to lead our accounting operation…",97173.09,97173.09,,Accounting & Finance Jobs,2025-06-25T11:45:29Z,https://www.adzuna.com/details/5267623745?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Los Angeles, CA",2025-06-25 12:52:23
Senior Fullstack Software Engineer,CyberCoders,"Los Angeles, Los Angeles County","Senior Fullstack Software Engineer *Job Title: *Senior Full-Stack Software Engineer (100% REMOTE! *Salary: *$150-190k/year  bonus  equity! *Requirements:* 7 years of Software Engineering experience, React, Python, Django We're a rapidly growing startup (yes, we're profitable!) currently at 25% YoY growth and rated the best SaaS product in our market - our customers love it! Our cloud-based contract management software helps users track all of their documents at an affordable price Which is why …",150000.0,190000.0,,IT Jobs,2025-06-25T07:49:53Z,https://www.adzuna.com/details/5267316703?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Los Angeles, CA",2025-06-25 12:52:23
"Software Development Engineer II, Amazon Music Community and Fandom",Amazon,"Culver City, Los Angeles County","Description Amazon Music is an immersive audio entertainment service that deepens connections between fans, artists, and creators. From personalized music playlists to exclusive podcasts, concert livestreams to artist merch, Amazon Music is innovating at some of the most exciting intersections of music and culture. We offer experiences that serve all listeners with our different tiers of service: Prime members get access to all the music in shuffle mode, and top ad-free podcasts, included with …",117299.23,117299.23,,IT Jobs,2025-06-25T07:23:45Z,https://www.adzuna.com/details/5267258128?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Los Angeles, CA",2025-06-25 12:52:23
"UX Designer, Amazon Key",Amazon,"Hawthorne, Los Angeles County","Description Do you love wrangling complex and technical problems into simple and visually creative experiences? Are you interested in joining a growing team to create user-centered experiences for a young and disruptive Amazon brand? We are seeking an exceptional UX Designer to help make deliveries easier and more secure for our customers. At Amazon Key, our mission is to streamline access control for building managers, delivery drivers, residents, and guests through service design and IoT devi…",99991.96,99991.96,,Creative & Design Jobs,2025-06-25T07:23:45Z,https://www.adzuna.com/details/5267258144?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Los Angeles, CA",2025-06-25 12:52:23
"Senior Software Development Engineer - AI Innovation & Vibe Coding, Amazon Music",Amazon,"Culver City, Los Angeles County","Description Amazon Music is an immersive audio entertainment service that deepens connections between fans, artists, and creators. From personalized music playlists to exclusive podcasts, concert livestreams to artist merch, Amazon Music is innovating at some of the most exciting intersections of music and culture. We offer experiences that serve all listeners with our different tiers of service: Prime members get access to all the music in shuffle mode, and top ad-free podcasts, included with …",150485.97,150485.97,,IT Jobs,2025-06-25T07:23:45Z,https://www.adzuna.com/details/5267258132?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Los Angeles, CA",2025-06-25 12:52:23
